DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
31102025|530079|0000000000001804|0000000000879631|0000000000003243|0000000001588755|055.63
31102025|530095|0000000003075516|0000000000891900|0000000006172612|0000000001817239|049.83
31102025|530109|0000000000177491|0000000000362082|0000000000197229|0000000000400189|089.99
31102025|530111|0000000000001140|0000000000040829|0000000000001140|0000000000040829|100.00
31102025|530117|0000000000000901|0000000002615423|0000000000002445|0000000007076397|036.85
31102025|530119|0000000000000816|0000000000032069|0000000000001216|0000000000047961|067.11
31102025|530125|0000000000001313|0000000000381887|0000000000002007|0000000000583997|065.42
31102025|530127|0000000000001591|0000000000046537|0000000000002556|0000000000075112|062.25
31102025|530129|0000000000001602|0000000002914359|0000000000002040|0000000003710571|078.53
31102025|530133|0000000000000701|0000000000061773|0000000000001649|0000000000142906|042.51
31102025|530135|0000000000009349|0000000005453740|0000000000014923|0000000008821528|062.65
31102025|530139|0000000000006883|0000000000246828|0000000000006883|0000000000246828|100.00
31102025|530141|0000000000000180|0000000000006804|0000000000000221|0000000000008118|081.45
31102025|530145|0000000000019115|0000000000611107|0000000000021742|0000000000693427|087.92
31102025|530161|0000000000000100|0000000000000800|0000000000000100|0000000000000800|100.00
31102025|530163|0000000000003184|0000000001356544|0000000000004369|0000000001884579|072.88
31102025|530167|0000000000000026|0000000000000493|0000000000000026|0000000000000492|100.00
31102025|530169|0000000000001709|0000000000059012|0000000000002831|0000000000096814|060.37
31102025|530171|0000000000000221|0000000000007735|0000000000000221|0000000000007741|100.00
31102025|530175|0000000000035356|0000000003002786|0000000000082334|0000000007307833|042.94
31102025|530179|0000000000000075|0000000000004545|0000000000000075|0000000000004545|100.00
31102025|530185|0000000000034216|0000000000205296|0000000000041081|0000000000247771|083.29
31102025|530187|0000000000007261|0000000000027229|0000000000007261|0000000000027497|100.00
31102025|530197|0000000000000224|0000000000047419|0000000000000224|0000000000047419|100.00
31102025|530199|0000000000001770|0000000000220277|0000000000003951|0000000000492764|044.80
31102025|530201|0000000000070657|0000000000279096|0000000000072237|0000000000284840|097.81
31102025|530207|0000000000000568|0000000000011985|0000000000000568|0000000000012636|100.00
31102025|530213|0000000000000925|0000000000052735|0000000000001426|0000000000083191|064.87
31102025|530215|0000000000009105|0000000001442688|0000000000010128|0000000001597044|089.90
31102025|530217|0000000000044156|0000000000688698|0000000000044156|0000000000688698|100.00
31102025|530219|0000000000000040|0000000000008480|0000000000000040|0000000000008480|100.00
31102025|530233|0000000000010669|0000000002062318|0000000000012093|0000000002323523|088.22
31102025|530235|0000000000000080|0000000000006600|0000000000000099|0000000000008142|080.81
31102025|530239|0000000000013183|0000000002602984|0000000000017641|0000000003434811|074.73
31102025|530245|0000000000000393|0000000000318016|0000000000000393|0000000000318016|100.00
31102025|530249|0000000000029763|0000000000399420|0000000000036307|0000000000488416|081.98
31102025|530251|0000000000031422|0000000000024280|0000000000031422|0000000000024280|100.00
31102025|530253|0000000000025811|0000000001085797|0000000000025811|0000000001085797|100.00
31102025|530255|0000000000012343|0000000000177987|0000000000014178|0000000000205297|087.06
31102025|530259|0000000000000707|0000000000023049|0000000000000709|0000000000023030|099.72
31102025|530263|0000000000122897|0000000000081066|0000000000122897|0000000000081066|100.00
31102025|530265|0000000000011646|0000000000478101|0000000000011646|0000000000478101|100.00
31102025|530267|0000000000000008|0000000000000408|0000000000000008|0000000000000407|100.00
31102025|530271|0000000000010825|0000000000117993|0000000000010826|0000000000118003|099.99
31102025|530281|0000000000000641|0000000000014423|0000000000000641|0000000000014365|100.00
31102025|530289|0000000000015823|0000000000987197|0000000000017902|0000000001118824|088.39
31102025|530295|0000000000000008|0000000000000231|0000000000000008|0000000000000232|100.00
31102025|530299|0000000000000602|0000000000054927|0000000000000808|0000000000073784|074.50
31102025|530305|0000000000033929|0000000023080203|0000000000075591|0000000051683859|044.88
31102025|530307|0000000000001098|0000000000303048|0000000000001357|0000000000378139|080.91
31102025|530309|0000000000011972|0000000000140437|0000000000011972|0000000000140437|100.00
31102025|530313|0000000000006425|0000000000203223|0000000000007645|0000000000239632|084.04
31102025|530315|0000000000003492|0000000000481896|0000000000003977|0000000000550790|087.80
31102025|530317|0000000000010538|0000000000918809|0000000000011061|0000000000944843|095.27
31102025|530331|0000000000001681|0000000000759728|0000000000001756|0000000000788397|095.73
31102025|530341|0000000000000119|0000000000015667|0000000000000219|0000000000028985|054.34
31102025|530343|0000000000033753|0000000011521587|0000000000111978|0000000038150328|030.14
31102025|530355|0000000000001385|0000000000462521|0000000000003189|0000000001070179|043.43
31102025|530357|0000000000139294|0000000000273017|0000000000161184|0000000000314505|086.42
31102025|530361|0000000000001906|0000000000108471|0000000000007022|0000000000405663|027.14
31102025|530363|0000000000005565|0000000000237069|0000000000006968|0000000000298991|079.86
31102025|530365|0000000000000020|0000000000005898|0000000000000033|0000000000009732|060.61
31102025|530367|0000000000002830|0000000000774288|0000000000004196|0000000001143094|067.45
31102025|530369|0000000000000023|0000000000001242|0000000000000025|0000000000001360|092.00
31102025|530377|0000000000017177|0000000000173488|0000000000022776|0000000000230549|075.42
31102025|530393|0000000000002375|0000000000060325|0000000000002387|0000000000062982|099.50
31102025|530401|0000000000000212|0000000000012508|0000000000000212|0000000000012326|100.00
31102025|530405|0000000000001092|0000000000044237|0000000000001958|0000000000080502|055.77
31102025|530407|0000000000006485|0000000000278142|0000000000007800|0000000000334838|083.14
31102025|530419|0000000000001735|0000000000091955|0000000000002126|0000000000112990|081.61
31102025|530421|0000000000004610|0000000000061175|0000000000004725|0000000000062776|097.57
31102025|530427|0000000000000769|0000000000079207|0000000000001204|0000000000124375|063.87
31102025|530429|0000000000000401|0000000000014537|0000000000000512|0000000000018621|078.32
31102025|530433|0000000000008158|0000000000373800|0000000000008594|0000000000399841|094.93
31102025|530439|0000000000000479|0000000000003104|0000000000000479|0000000000003212|100.00
31102025|530443|0000000000000500|0000000000003440|0000000000000500|0000000000003440|100.00
31102025|530445|0000000000021222|0000000000043506|0000000000023731|0000000000047612|089.43
31102025|530449|0000000000000175|0000000000011025|0000000000000250|0000000000015907|070.00
31102025|530457|0000000000057997|0000000005110696|0000000000073662|0000000006485948|078.73
31102025|530459|0000000000000603|0000000000015685|0000000000000703|0000000000018346|085.78
31102025|530461|0000000000025252|0000000000402265|0000000000037095|0000000000590588|068.07
31102025|530475|0000000000001281|0000000001228800|0000000000002222|0000000002140159|057.65
31102025|530477|0000000000001587|0000000000262570|0000000000001716|0000000000284275|092.48
31102025|530495|0000000000000850|0000000000062577|0000000000001284|0000000000093856|066.20
31102025|530499|0000000000000343|0000000000413744|0000000000000367|0000000000441791|093.46
31102025|530517|0000000000004661|0000000002031963|0000000000006965|0000000003041549|066.92
31102025|530521|0000000000000582|0000000000376354|0000000000000582|0000000000376354|100.00
31102025|530525|0000000000500728|0000000003775861|0000000000500728|0000000003775861|100.00
31102025|530533|0000000000000028|0000000000002884|0000000000000028|0000000000002907|100.00
31102025|530545|0000000000001150|0000000000276115|0000000000001284|0000000000307730|089.56
31102025|530547|0000000000000001|0000000000000015|0000000000000001|0000000000000014|100.00
31102025|530549|0000000000004695|0000000001663204|0000000000009313|0000000003320483|050.41
31102025|530555|0000000000010522|0000000000455287|0000000000017896|0000000000779124|058.80
31102025|530557|0000000001723341|0000000000965071|0000000002340014|0000000001327620|073.65
31102025|530565|0000000000010938|0000000000143341|0000000000010938|0000000000143341|100.00
31102025|530571|0000000000008554|0000000000103442|0000000000008554|0000000000103442|100.00
31102025|530577|0000000000002561|0000000000199630|0000000000003000|0000000000230324|085.37
31102025|530579|0000000000008383|0000000000125578|0000000000014008|0000000000209560|059.84
31102025|530581|0000000000000004|0000000000000026|0000000000000004|0000000000000026|100.00
31102025|530585|0000000000002876|0000000000282941|0000000000004578|0000000000449293|062.82
31102025|530589|0000000000000727|0000000000097418|0000000000001009|0000000000135776|072.05
31102025|530595|0000000000040030|0000000000612059|0000000000042036|0000000000642730|095.23
31102025|530601|0000000000002720|0000000000174232|0000000000002720|0000000000174232|100.00
31102025|530615|0000000000002075|0000000000326087|0000000000002759|0000000000440609|075.21
31102025|530617|0000000000001595|0000000000239489|0000000000001595|0000000000239489|100.00
31102025|530621|0000000000021615|0000000004302466|0000000000040220|0000000007842949|053.74
31102025|530627|0000000000002455|0000000000447179|0000000000002922|0000000000534027|084.02
31102025|530643|0000000000006382|0000000003823457|0000000000011016|0000000006570978|057.93
31102025|530655|0000000000001397|0000000001748556|0000000000004915|0000000006113982|028.42
31102025|530663|0000000000002743|0000000000002826|0000000000002743|0000000000002825|100.00
31102025|530665|0000000000010183|0000000000040122|0000000000011380|0000000000044872|089.48
31102025|530675|0000000000000042|0000000000002470|0000000000000044|0000000000002604|095.45
31102025|530677|0000000000001551|0000000000136535|0000000000005395|0000000000477566|028.75
31102025|530689|0000000000001694|0000000000060121|0000000000002270|0000000000080037|074.63
