TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,SYMBOL,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW
2025-11-06,2025-11-06,CM,NSE,STK,7254,INE804L01022,MEDPLUS,EQ,,,,,MEDPLUS HEALTH SERV LTD,814.75,815.8,782.15,785.1,784.95,808.25,,785.1,,,373679,295707423.3,19263,F1,1,,,,,,MEDPLUS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,14793,INE933B01012,MEGASOFT,EQ,,,,,MEGASOFT LTD,221.85,226.8,210.75,210.75,210.75,221.85,,210.7,,,478204,102667652.1,7587,F1,1,,,,,,MEGASOFT,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,8153,INE00EM01016,MEGASTAR,EQ,,,,,MEGASTAR FOODS LIMITED,294.0,295.0,281.55,288.7,286.4,294.8,,288.8,,,25522,7441225.75,1165,F1,1,,,,,,MEGASTAR,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,5394,INE0CT101020,MOL,EQ,,,,,MEGHMANI ORGANICS LIMITED,77.66,78.68,74.51,75.63,75.6,77.6,,75.64,,,1043571,79324065.49,7410,F1,1,,,,,,MOL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,6961,INE071D01033,MENONBE,EQ,,,,,MENON BEARINGS LIMITED,116.01,117.45,115.15,115.38,115.15,117.18,,115.4,,,21073,2441205.02,2376,F1,1,,,,,,MENONBE,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,7242,INE317I01021,METROBRAND,EQ,,,,,METRO BRANDS LIMITED,1145.0,1145.3,1114.3,1128.3,1132.1,1130.4,,1128.3,,,50315,56638396.2,6557,F1,1,,,,,,METROBRAND,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,9581,INE112L01020,METROPOLIS,EQ,,,,,METROPOLIS HEALTHCARE LTD,2106.5,2118.3,1980.3,2005.8,1981.9,2030.8,,2005.9,,,323417,662740722.7,27962,F1,1,,,,,,METROPOLIS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,7169,INE287C01037,MICEL,EQ,,,,,MIC ELECTRONICS LTD,52.4,53.0,51.03,51.35,51.07,52.39,,51.35,,,1614365,84190367.51,8751,F1,1,,,,,,MICEL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,759517,INE0XAD01024,MIDWESTLTD,EQ,,,,,MIDWEST LIMITED,1108.1,1113.0,1081.1,1089.3,1088.5,1117.2,,1089.45,,,73180,80271973.9,7733,F1,1,,,,,,MIDWESTLTD,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,25897,INE842C01021,MINDACORP,EQ,,,,,MINDA CORPORATION LTD,595.0,596.75,566.25,573.35,579.55,591.4,,573.35,,,959199,558388110.0,36408,F1,1,,,,,,MINDACORP,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,18049,INE110B01017,MINDTECK,EQ,,,,,MINDTECK (INDIA) LIMITED,259.85,260.0,248.0,250.35,251.4,259.5,,250.35,,,79884,20195029.5,2477,F1,1,,,,,,MINDTECK,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,19640,INF769K01KU7,ALPHAETF,EQ,,,,,MIRAEAMC - ALPHAETF,25.32,25.39,25.03,25.07,25.14,25.26,,25.07,,,720953,18140282.02,1512,F1,1,,,,,,ALPHAETF,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,17419,INF769K01KR3,BANKETF,EQ,,,,,MIRAEAMC - BANKETF,587.72,587.95,584.34,584.79,584.96,587.78,,584.66,,,6918,4051665.7,498,F1,1,,,,,,BANKETF,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,25725,INF769K01LZ4,BANKPSU,EQ,,,,,MIRAEAMC - BANKPSU,83.81,84.19,83.0,83.32,83.0,83.63,,83.29,,,53252,4452859.18,129,F1,1,,,,,,BANKPSU,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,28969,INF769K01NS5,CONSUMER,EQ,,,,,MIRAEAMC - CONSUMER,12.24,12.25,12.06,12.08,12.08,12.2,,12.08,,,292505,3540999.72,683,F1,1,,,,,,CONSUMER,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,30121,INF769K01OA1,EQUAL200,EQ,,,,,MIRAEAMC - EQUAL200,13.72,13.72,13.34,13.35,13.35,13.45,,13.35,,,17362,232499.43,127,F1,1,,,,,,EQUAL200,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,757142,INF769K01OO2,EQUAL50,EQ,,,,,MIRAEAMC - EQUAL50,329.1,329.43,327.53,328.49,328.49,329.1,,328.49,,,129,42355.44,13,F1,1,,,,,,EQUAL50,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,24461,INF769K01LQ3,EVINDIA,EQ,,,,,MIRAEAMC - EVINDIA,31.14,31.14,30.75,30.82,30.84,30.99,,30.82,,,193250,5970242.99,2256,F1,1,,,,,,EVINDIA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,758595,INF769K01PB6,INTERNET,EQ,,,,,MIRAEAMC - INTERNET,14.64,14.64,14.25,14.38,14.38,14.57,,14.38,,,84857,1225623.04,292,F1,1,,,,,,INTERNET,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,19633,INF769K01KV5,ITETF,EQ,,,,,MIRAEAMC - ITETF,37.4,37.4,36.87,36.99,36.99,36.91,,37.0,,,359684,13312067.63,920,F1,1,,,,,,ITETF,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,17572,INF769K01KS1,LIQUID,EQ,,,,,MIRAEAMC - LIQUID,999.99,1000.0,999.99,999.99,1000.0,999.99,,999.99,,,217830,217828545.81,138,F1,1,,,,,,LIQUID,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,27075,INF769K01MY5,LIQUIDPLUS,EQ,,,,,MIRAEAMC - LIQUIDPLUS,1058.26,1058.26,1058.24,1058.25,1058.24,1058.11,,1058.25,,,31432,33263135.96,58,F1,1,,,,,,LIQUIDPLUS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,1200,INF769K01GS9,ESG,EQ,,,,,MIRAEAMC - MAESGETF,43.67,43.67,43.3,43.3,43.3,43.6,,43.3,,,451084,19533466.41,289,F1,1,,,,,,ESG,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,3507,INF769K01HF4,MAFANG,EQ,,,,,MIRAEAMC - MAFANG,177.2,177.93,173.15,175.13,174.5,177.2,,175.16,,,1098997,194875547.1,18354,F1,1,,,,,,MAFANG,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,5220,INF769K01HI8,BFSI,EQ,,,,,MIRAEAMC - MAFSETF,28.5,28.5,27.92,27.96,27.99,28.13,,27.96,,,248533,6952605.44,1105,F1,1,,,,,,BFSI,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,14286,INF769K01JP9,GOLDETF,EQ,,,,,MIRAEAMC - MAGOLDETF,117.77,118.59,116.61,117.91,117.5,116.87,,117.88,,,794014,93209234.28,4391,F1,1,,,,,,GOLDETF,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,14938,INF769K01KF8,GSEC10YEAR,EQ,,,,,MIRAEAMC - MAGS813ETF,29.39,29.48,29.36,29.39,29.39,29.36,,29.39,,,5271,155070.57,35,F1,1,,,,,,GSEC10YEAR,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,7074,INF769K01HS7,MAHKTECH,EQ,,,,,MIRAEAMC - MAHKTECH,27.18,27.18,27.13,27.18,27.18,27.12,,27.18,,,896652,24370883.36,5026,F1,1,,,,,,MAHKTECH,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,8413,INF769K01IC9,MIDCAPETF,EQ,,,,,MIRAEAMC - MAM150ETF,22.57,22.58,22.25,22.29,22.32,22.52,,22.29,,,2405183,53789545.43,10380,F1,1,,,,,,MIDCAPETF,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,7979,INF769K01IB1,MAKEINDIA,EQ,,,,,MIRAEAMC - MAMFGETF,154.73,154.74,152.89,153.18,152.89,154.7,,153.18,,,23933,3674455.59,461,F1,1,,,,,,MAKEINDIA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,6353,INF769K01EG9,NIFTYETF,EQ,,,,,MIRAEAMC - MAN50ETF,276.48,277.3,275.25,275.38,275.31,276.48,,275.38,,,98927,27308484.48,1703,F1,1,,,,,,NIFTYETF,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,14786,INF769K01JU9,LOWVOL,EQ,,,,,MIRAEAMC - MANV30F,211.11,211.44,210.15,210.9,210.9,210.55,,210.9,,,262,55268.24,14,F1,1,,,,,,LOWVOL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,17181,INF769K01FN2,NEXT50,EQ,,,,,MIRAEAMC - MANXT50,724.0,724.0,711.0,711.32,711.26,720.4,,711.32,,,15460,11053571.77,1249,F1,1,,,,,,NEXT50,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,16777,INF769K01KG6,SILVERAG,EQ,,,,,MIRAEAMC - MASILVER,143.14,145.17,143.09,144.95,144.64,142.4,,144.95,,,283233,40927643.29,1405,F1,1,,,,,,SILVERAG,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,5782,INF769K01HP3,MASPTOP50,EQ,,,,,MIRAEAMC - MASPTOP50,71.77,71.77,70.66,71.25,71.11,71.39,,71.26,,,433234,31023836.25,4967,F1,1,,,,,,MASPTOP50,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,25744,INF769K01LY7,METAL,EQ,,,,,MIRAEAMC - METAL,10.7,10.7,10.29,10.33,10.34,10.55,,10.34,,,2618756,27174635.5,4123,F1,1,,,,,,METAL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,23855,INF769K01LJ8,MIDSMALL,EQ,,,,,MIRAEAMC - MIDSMALL,49.05,49.05,48.4,48.41,48.45,48.81,,48.41,,,308008,14951171.48,1249,F1,1,,,,,,MIDSMALL,0,0,0,0
