DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2025-10-31,762GS2039,IN0020190024,BSE,104.7,100.0,73290.0,73.29,50.0,50.0,50.0,31875.0,31875.0,31875.0,63.21,63.21,63.21
2025-11-07,772GS2049,IN0020190032,BSE,105.9,100.0,105900.0,105.9,100.0,100.0,100.0,12307.67,10539.991666666667,10539.991666666667,12.307599999999999,10.539833333333332,10.539833333333332
2025-10-01,769GS2043,IN0020190040,BSE,106.6,100.0,98711.59999999999,98.711,100.0,100.0,100.0,11224.7,11224.7,11224.7,11.224599999999999,11.224599999999999,11.224599999999999
2025-10-30,SGBJUN27,IN0020190073,BSE,12000.01,100.0,60000.05,60.0,100.0,100.0,100.0,51750.0,51750.0,51750.0,51.75,51.75,51.75
2025-09-29,SGBJUL27,IN0020190081,BSE,12100.0,100.0,48400.0,48.4,77.77666666666666,77.77666666666666,77.77666666666666,135751.66666666666,135751.66666666666,135751.66666666666,142.9176666666667,142.9176666666667,142.9176666666667
2025-11-11,645GS2029,IN0020190362,BSE,102.45,100.0,51327.450000000004,51.327,100.0,100.0,100.0,99.78200000000001,205.43714285714285,205.43714285714285,0.0996,0.20514285714285713,0.20514285714285713
2025-11-04,SGBOCT27VI,IN0020190388,BSE,12101.01,100.0,36303.03,36.303,100.0,100.0,100.0,20508.5,20508.5,20508.5,20.4695,20.4695,20.4695
2025-08-18,SGBDC27VII,IN0020190461,BSE,10351.5,100.0,113866.5,113.748,100.0,100.0,100.0,113866.5,113866.5,113866.5,113.748,113.748,113.748
2025-09-29,SGBFEB28IX,IN0020190545,BSE,12130.0,100.0,12130.0,12.13,100.0,100.0,100.0,12130.0,12130.0,12130.0,12.13,12.13,12.13
2025-09-19,SGBMAR28X,IN0020190552,BSE,11775.0,100.0,35325.0,35.325,100.0,100.0,100.0,35325.0,35325.0,35325.0,35.325,35.325,35.325
2025-10-27,719GS2060,IN0020200039,BSE,114.0,50.0,114.0,0.228,80.0,83.33333333333333,83.33333333333333,187066.78999999998,156750.89166666666,156750.89166666666,187.7152,157.29116666666667,157.29116666666667
2025-08-19,716GS2050,IN0020200054,BSE,101.0,100.0,85648.0,85.648,100.0,100.0,100.0,85648.0,85648.0,85648.0,85.648,85.648,85.648
2025-09-01,619GS2034,IN0020200096,BSE,97.45,100.0,292.35,0.292,100.0,100.0,100.0,292.35,292.35,292.35,0.292,0.292,0.292
2025-09-22,GS22SEP33,IN0020200120,BSE,95.0,100.0,95000.0,95.4,100.0,100.0,100.0,9980.333333333334,9980.333333333334,9980.333333333334,9.980333333333332,9.980333333333332,9.980333333333332
2025-09-02,68GS2060,IN0020200187,BSE,94.0,100.0,2350000.0,2350.0,100.0,100.0,100.0,63657.68,63657.68,63657.68,63.657,63.657,63.657
2025-10-08,667GS2050,IN0020200252,BSE,96.4,100.0,18701.600000000002,18.701,100.0,100.0,100.0,2400000.0,2400000.0,2400000.0,2400.0,2400.0,2400.0
2025-09-29,676GS2061,IN0020200401,BSE,95.7,96.62,19140.0,19.772,100.0,100.0,100.0,100.75,100.75,100.75,0.1,0.1,0.1
2025-11-14,664GS2035,IN0020210020,BSE,100.05,100.0,100.05,0.1,50.0,50.0,50.0,10005.0,10005.0,10005.0,20.005,20.005,20.005
2025-09-30,574GS2026,IN0020210186,BSE,101.3,100.0,10130.0,10.13,100.0,100.0,100.0,10130.0,10130.0,10130.0,10.13,10.13,10.13
2025-10-13,695GS2061,IN0020210202,BSE,95.81,100.0,95810.0,95.81,100.0,100.0,100.0,70940.0,70940.0,70940.0,70.94,70.94,70.94
2025-09-30,654GS2032,IN0020210244,BSE,100.6,100.0,10060.0,10.06,100.0,100.0,100.0,1448908.5,1448908.5,1448908.5,1447.683,1447.683,1447.683
2025-08-11,726GS2032,IN0020220060,BSE,108.0,100.0,162000.0,162.0,100.0,100.0,100.0,162000.0,162000.0,162000.0,162.0,162.0,162.0
2025-11-11,736GS2052,IN0020220086,BSE,104.5,100.0,104.5,0.104,75.0,75.0,75.0,73183.0,73183.0,73183.0,66.44200000000001,66.44200000000001,66.44200000000001
2025-08-11,741GS2036,IN0020220102,BSE,105.0,100.0,105000.0,105.0,100.0,100.0,100.0,1023625.0,1023625.0,1023625.0,1022.372,1022.372,1022.372
