symbol,entry_date,entry_price,exit_date,exit_price,return_pct,days_held,exit_reason,pnl,patch1_capped,YM
PRINCEPIPE,2023-09-20,717.55,2023-10-05,675.05,-6.392729557173696,15,SL,-1284.3888662499958,True,2023-09
UJJIVAN,2023-08-15,507.35,2023-10-06,591.1214285714286,15.929736067310554,52,TP,8970.966269062512,True,2023-08
MUTHOOTFIN,2023-09-01,1260.95,2023-10-09,1187.9357142857143,-6.260877884729756,38,SL,-1815.770412812497,True,2023-09
OIL,2023-09-15,285.0,2023-10-09,318.3285714285714,11.136462500000007,24,TP,3649.9755843750027,True,2023-09
MANORAMA,2023-09-27,2067.75,2023-10-09,2327.907142857143,12.019448993471183,12,TP,3230.918035312505,True,2023-09
NAM-INDIA,2023-07-31,320.6,2023-10-11,351.90000000000003,9.2148157751092,72,TP,4549.575703750015,True,2023-07
NETWORK18,2023-09-26,65.95,2023-10-12,77.25,16.549253695981804,16,TP,4453.006987500001,True,2023-09
DABUR,2023-10-18,538.15,2023-10-19,523.8214285714286,-3.1486397263773727,1,SL,-1236.9415421874874,True,2023-10
TATACOMM,2023-08-23,1786.85,2023-10-20,1699.7214285714285,-5.351123782774149,58,SL,-2294.7973274999968,True,2023-08
HDFCVALUE,2023-10-17,109.75,2023-10-20,105.06428571428572,-4.747498006833689,3,SL,-2099.7827621874894,True,2023-10
ABCAPITAL,2023-09-01,180.0,2023-10-23,172.05,-4.893985937499981,52,SL,-951.3908662499962,True,2023-09
ICICIM150,2023-10-20,153.03,2023-10-23,148.83285714285714,-3.2283715202901186,3,SL,-1432.7093118749908,True,2023-10
CHOLAFIN,2023-09-18,1230.0,2023-10-25,1157.9785714285713,-6.32553528963415,37,SL,-1945.102101562501,True,2023-09
KOTAKNV20,2023-10-17,118.0,2023-10-25,113.3,-4.462535487288135,8,SL,-2190.56942,True,2023-10
TCNSBRANDS,2023-05-10,406.4,2023-10-26,348.5571428571428,-14.661285525344486,169,SL,-4766.6771499999995,True,2023-05
SAPPHIRE,2023-07-07,1390.0,2023-10-26,1297.3,-7.135136106115112,111,SL,-2380.2814050000015,True,2023-07
MFSL,2023-09-06,924.0,2023-10-26,869.3857142857144,-6.380495738636349,50,SL,-1591.8060768749965,True,2023-09
