DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,COMBINED_SCORE,TRIGGER_COUNT_30D,REPEAT_FLAG,AI_SCORE
2026-07-16,TORNTPHARM,,NSE,4956.0,76.01,2644367964.0,102514.14461022336,,61.57000000000001,57.45681818181819,53.863181818181815,2521492120.14,2674491095.190909,1680785483.6575756,64177.49857320664,64978.196492838295,56644.41631003841,1.4111680267344031,1.5732929571985368,1.8097837578397997,True,True,True,0.9,0.74,0.8466666666666667,0.8253333333333334,2,True,0.7719999999999999
2026-07-16,DLF,,NSE,642.0,50.74,1591014030.0,35390.9095845998,,39.414,45.18727272727273,44.70818181818181,923024953.57,1469956526.2113638,1295071890.7742424,37665.14931798073,46779.09124562617,45479.972760161705,1.1349153093800202,1.22851406268175,0.7781647049621929,True,True,True,0.5466666666666666,0.7066666666666667,0.37333333333333335,0.5760000000000001,3,True,0.416
2026-07-16,STOVEKRAFT,,NSE,800.2,12.8,342996927.8,28950.889997467715,,50.312,51.91181818181818,47.45015151515152,103226927.31,67412360.54545456,62948778.23257576,18167.424896206903,15617.109468625438,16195.610487706444,0.26975677824575073,5.448825814104528,1.7875763324539933,True,True,True,0.013333333333333334,0.96,0.8266666666666667,0.5546666666666666,1,False,0.7933333333333334
2026-07-15,JBCHEPHARM,,NSE,2408.9,66.77,7687558703.5,73166.03367999948,,69.586,62.35636363636363,60.504393939393935,950717164.7,612329817.5409092,466024459.0560606,41148.43093309749,32045.97915675925,30703.11903014412,1.103556215551588,16.496041257300664,2.383016318575502,True,True,True,0.49333333333333335,1.0,0.9333333333333333,0.784,1,False,0.9093333333333333
2026-07-15,ALKEM,,NSE,5597.5,62.37,382219690.0,28528.408682773304,,52.010000000000005,53.99045454545455,49.784090909090914,358236120.6,403248633.29545456,414128112.0,33320.9079533425,34978.0342727993,34464.25113319181,1.2528098607623828,0.9229503598635197,0.8277681291411606,True,True,True,0.7133333333333334,0.58,0.4066666666666667,0.5986666666666668,2,True,0.4733333333333334
2026-07-15,ENDURANCE,,NSE,2877.7,52.42,216005917.4,19867.59123959077,,53.408,57.62363636363636,55.626666666666665,266572164.0,232162415.18636367,216549132.49848485,22147.94001262697,19677.951636218622,19329.203664240453,0.9423537871524449,0.9974914926131665,1.0278535828326103,True,True,True,0.25333333333333335,0.64,0.6666666666666666,0.4906666666666667,1,False,0.6893333333333334
2026-07-15,TVSHLTD,,NSE,14908.0,51.25,34005148.0,33072.671649227705,,56.83,53.13045454545455,52.68333333333333,74681941.0,78435326.77272727,44485984.18181818,37199.02434259509,48674.66140722987,35304.15239202653,0.9727934198038596,0.7644013867607814,0.9367926832509705,True,True,True,0.32,0.5066666666666667,0.5733333333333334,0.44533333333333336,1,False,0.6266666666666667
2026-07-15,ETERNAL,,NSE,316.25,42.85,4060554492.5,40781.36489768639,,47.45399999999999,50.25863636363636,50.21848484848485,3626717844.6,5495871503.254545,4361171671.089242,55110.7127756829,56854.37881301934,47128.83075272845,0.8532714622769595,0.931069629617639,0.8653167126435748,True,True,True,0.08666666666666667,0.6066666666666667,0.4866666666666667,0.3746666666666667,2,True,0.46133333333333326
2026-07-15,RHL,,NSE,177.53,83.26,750596.84,7136.3863200000005,,63.638,71.27681818181817,77.33575757575757,385365.876,1924882.935,1205655.1603030302,4959.890587750284,12974.88902868012,12075.057253052024,1.0766041816870946,0.6225634532276579,0.5910022760510099,True,True,True,0.4266666666666667,0.41333333333333333,0.14666666666666667,0.36533333333333334,1,False,0.372
2026-07-15,HCG,,NSE,678.5,56.56,64126392.0,7604.201316055882,,62.456,64.35909090909092,60.4789393939394,45488082.17999999,118890689.8340909,82222340.30984847,7062.11647708652,13918.150961492183,11374.301580749749,0.9352015853252196,0.7799144582645628,0.6685422627553228,True,True,True,0.23333333333333334,0.54,0.16666666666666666,0.3426666666666667,2,True,0.2773333333333333
2026-07-15,PANORAMA,,BSE,48.58,36.96,3066855.4,11533.029166666667,,47.298,58.960000000000015,41.62015151515152,10658377.0,10658801.052727273,6982753.135909092,23186.05820166124,33329.769585197006,24624.820475967503,0.8880313659248688,0.43920432819378524,0.46834977651602705,True,True,True,0.16666666666666666,0.19333333333333333,0.06,0.15600000000000003,4,True,0.12200000000000001
2026-07-14,BAJAJFINSV,,NSE,2086.0,70.78,2685921084.0,35564.95087355613,,52.97800000000001,57.45045454545455,54.7710606060606,2480904747.2,1646547224.0681818,1273362580.9136364,48985.839159168616,41187.15213212601,34186.93373971922,1.2922882853973428,2.109313658386957,1.0403082986128087,True,True,True,0.8,0.84,0.68,0.7920000000000001,1,False,0.772
2026-07-14,ETERNAL,,NSE,316.25,42.85,4060554492.5,40781.36489768639,,47.45399999999999,50.25863636363636,50.21848484848485,3626717844.6,5495871503.254545,4361171671.089242,55110.7127756829,56854.37881301934,47128.83075272845,0.8532714622769595,0.931069629617639,0.8653167126435748,True,True,True,0.08666666666666667,0.6066666666666667,0.4866666666666667,0.3746666666666667,2,True,0.46133333333333326
2026-07-13,TORNTPHARM,,NSE,4956.0,76.01,2644367964.0,102514.14461022336,,61.57000000000001,57.45681818181819,53.863181818181815,2521492120.14,2674491095.190909,1680785483.6575756,64177.49857320664,64978.196492838295,56644.41631003841,1.4111680267344031,1.5732929571985368,1.8097837578397997,True,True,True,0.9,0.74,0.8466666666666667,0.8253333333333334,2,True,0.7719999999999999
2026-07-13,DLF,,NSE,642.0,50.74,1591014030.0,35390.9095845998,,39.414,45.18727272727273,44.70818181818181,923024953.57,1469956526.2113638,1295071890.7742424,37665.14931798073,46779.09124562617,45479.972760161705,1.1349153093800202,1.22851406268175,0.7781647049621929,True,True,True,0.5466666666666666,0.7066666666666667,0.37333333333333335,0.5760000000000001,3,True,0.416
2026-07-13,GROWWHOSPI,,NSE,53.99,83.07,12502680.26,15347.95356122449,,74.89200000000001,78.81454545454545,72.65727272727274,17690083.630000003,30428732.28318182,17208401.470606063,20190.720019859386,30487.46667475544,18488.793257968988,1.143312938703502,0.726545128631269,0.8301219742726724,True,True,True,0.58,0.4866666666666667,0.43333333333333335,0.5133333333333333,2,True,0.4666666666666667
2026-07-13,TBOTEK,,NSE,1623.1,41.77,74837894.8,20449.390887507067,,45.07600000000001,49.564545454545446,48.751969696969695,683839591.6800001,267570483.62727275,169409794.15757573,36611.58839281322,23081.017639671805,17571.37285335139,0.8567858952085853,0.44175660074523126,1.1637901635902486,True,True,True,0.10666666666666667,0.22666666666666666,0.7066666666666667,0.2746666666666667,1,False,0.6573333333333333
